id,type,slug,name,description,parentIds,status,visibility,location,itemType,tags,seo_title,seo_description,seo_keywords,featuredImage,Related
things-to-do,category,things-to-do,Things To Do,Activities and attractions,,published,public,Austin,category,activities,Things to do Austin,Activities Austin,Austin activities,,
food-drink,category,food-drink,Food & Drink,Restaurants and food,,published,public,Austin,category,food,Food Austin,Restaurants Austin,Austin restaurants,,
nightlife,category,nightlife,Nightlife,Bars and entertainment,,published,public,Austin,category,nightlife,Austin Nightlife,Nightlife Austin,Austin bars,,
shopping,category,shopping,Shopping,Retail businesses,,published,public,Austin,category,shopping,Shopping Austin,Austin shopping,Austin retail,,
health-beauty,category,health-beauty,Health & Beauty,Health services,,published,public,Austin,category,health,Health Austin,Health services Austin,Austin health,,
services,category,services,Local Services,General services,,published,public,Austin,category,services,Austin Services,Local services Austin,Austin services,,
home-services,category,home-services,Home Services,Home contractors,,published,public,Austin,category,home,Home Services Austin,Austin contractors,Austin home,,
automotive,category,automotive,Automotive,Car services,,published,public,Austin,category,auto,Automotive Austin,Car services Austin,Austin auto,,
professional,category,professional,Professional Services,Business services,,published,public,Austin,category,business,Professional Austin,Professional services,Austin busines,,
restaurants,category,restaurants,Restaurants,Places to eat,food-drink,published,public,,,,,,,,
fast-food,category,fast-food,Fast Food,Quick restaurants,restaurants,published,public,,,,,,,,
mexican,category,mexican,Mexican Restaurants,Mexican food,restaurants,published,public,,,,,,,,
bbq,category,bbq,BBQ Restaurants,BBQ places,restaurants,published,public,,,,,,,,
pizza,category,pizza,Pizza,Pizza restaurants,restaurants,published,public,,,,,,,,
sushi,category,sushi,Sushi,Sushi restaurants,restaurants,published,public,,,,,,,,
steakhouses,category,steakhouses,Steakhouses,Steak restaurants,restaurants,published,public,,,,,,,,
seafood,category,seafood,Seafood,Seafood restaurants,restaurants,published,public,,,,,,,,
vegan,category,vegan,Vegan Restaurants,Vegan food,restaurants,published,public,,,,,,,,
vegetarian,category,vegetarian,Vegetarian Restaurants,Vegetarian food,restaurants,published,public,,,,,,,,
breakfast,category,breakfast,Breakfast,Breakfast spots,restaurants,published,public,,,,,,,,
brunch,category,brunch,Brunch,Brunch restaurants,restaurants,published,public,,,,,,,,
food-trucks,category,food-trucks,Food Trucks,Food trucks,food-drink,published,public,,,,,,,,
bakeries,category,bakeries,Bakeries,Bakeries,food-drink,published,public,,,,,,,,
coffee,category,coffee,Coffee Shops,Coffee shops,food-drink,published,public,,,,,,,,
bubble-tea,category,bubble-tea,Bubble Tea,Boba tea,coffee,published,public,,,,,,,,
dessert,category,dessert,Dessert Shops,Dessert,food-drink,published,public,,,,,,,,
outdoor,category,outdoor,Outdoor Activities,Outdoor recreation,things-to-do,published,public,,,,,,,,
parks,category,parks,Parks,Public parks,outdoor,published,public,,,,,,,,
hiking,category,hiking,Hiking Trails,Hiking,outdoor,published,public,,,,,,,,
biking,category,biking,Bike Trails,Biking,outdoor,published,public,,,,,,,,
swimming,category,swimming,Swimming,Swimming spots,outdoor,published,public,,,,,,,,
kayaking,category,kayaking,Kayaking,Water sports,outdoor,published,public,,,,,,,,
paddleboard,category,paddleboard,Paddleboarding,Paddleboarding,outdoor,published,public,,,,,,,,
museums,category,museums,Museums,Museums,things-to-do,published,public,,,,,,,,
art-galleries,category,art-galleries,Art Galleries,Art galleries,things-to-do,published,public,,,,,,,,
live-music,category,live-music,Live Music,Music venues,things-to-do,published,public,,,,,,,,
comedy,category,comedy,Comedy Clubs,Comedy venues,things-to-do,published,public,,,,,,,,
movie-theaters,category,movie-theaters,Movie Theaters,Cinemas,things-to-do,published,public,,,,,,,,
bowling,category,bowling,Bowling,Bowling alleys,things-to-do,published,public,,,,,,,,
arcades,category,arcades,Arcades,Arcades,things-to-do,published,public,,,,,,,,
escape-rooms,category,escape-rooms,Escape Rooms,Escape games,things-to-do,published,public,,,,,,,,
mini-golf,category,mini-golf,Mini Golf,Mini golf,things-to-do,published,public,,,,,,,,
bars,category,bars,Bars,Bars,nightlife,published,public,,,,,,,,
cocktail-bars,category,cocktail-bars,Cocktail Bars,Cocktail bars,bars,published,public,,,,,,,,
sports-bars,category,sports-bars,Sports Bars,Sports bars,bars,published,public,,,,,,,,
dive-bars,category,dive-bars,Dive Bars,Dive bars,bars,published,public,,,,,,,,
wine-bars,category,wine-bars,Wine Bars,Wine bars,bars,published,public,,,,,,,,
breweries,category,breweries,Breweries,Breweries,nightlife,published,public,,,,,,,,
distilleries,category,distilleries,Distilleries,Distilleries,nightlife,published,public,,,,,,,,
nightclubs,category,nightclubs,Nightclubs,Nightclubs,nightlife,published,public,,,,,,,,
dance-clubs,category,dance-clubs,Dance Clubs,Dance clubs,nightclubs,published,public,,,,,,,,
rooftop-bars,category,rooftop-bars,Rooftop Bars,Rooftop bars,bars,published,public,,,,,,,,
spas,category,spas,Spas,Spa services,health-beauty,published,public,,,,,,,,
estheticians,category,estheticians,Estheticians,Skin care,health-beauty,published,public,,,,,,,,
waxing,category,waxing,Waxing,Waxing services,estheticians,published,public,,,,,,,,
facials,category,facials,Facials,Facial services,estheticians,published,public,,,,,,,,
laser-hair,category,laser-hair,Laser Hair Removal,Laser hair removal,estheticians,published,public,,,,,,,,
massage,category,massage,Massage,Massage therapy,health-beauty,published,public,,,,,,,,
hair-salons,category,hair-salons,Hair Salons,Hair salons,health-beauty,published,public,,,,,,,,
barber,category,barber,Barbers,Barbers,health-beauty,published,public,,,,,,,,
nail-salons,category,nail-salons,Nail Salons,Nail salons,health-beauty,published,public,,,,,,,,
gyms,category,gyms,Gyms,Fitness,health-beauty,published,public,,,,,,,,
yoga,category,yoga,Yoga Studios,Yoga,gyms,published,public,,,,,,,,
pilates,category,pilates,Pilates,Pilates,gyms,published,public,,,,,,,,
crossfit,category,crossfit,CrossFit,CrossFit gyms,gyms,published,public,,,,,,,,
photography,category,photography,Photographers,Photography,services,published,public,,,,,,,,
event-planning,category,event-planning,Event Planning,Event planners,services,published,public,,,,,,,,
cleaning,category,cleaning,Cleaning Services,Cleaning,services,published,public,,,,,,,,
movers,category,movers,Movers,Moving companies,services,published,public,,,,,,,,
storage,category,storage,Storage,Storage units,services,published,public,,,,,,,,
pet-services,category,pet-services,Pet Services,Pet services,services,published,public,,,,,,,,
dog-grooming,category,dog-grooming,Dog Grooming,Grooming,pet-services,published,public,,,,,,,,
vets,category,vets,Veterinarians,Animal hospitals,pet-services,published,public,,,,,,,,
auto-repair,category,auto-repair,Auto Repair,Repair shops,automotive,published,public,,,,,,,,
oil-change,category,oil-change,Oil Change,Oil change,automotive,published,public,,,,,,,,
tire-shops,category,tire-shops,Tire Shops,Tire shops,automotive,published,public,,,,,,,,
car-wash,category,car-wash,Car Wash,Car washes,automotive,published,public,,,,,,,,
detailing,category,detailing,Auto Detailing,Car detailing,automotive,published,public,,,,,,,,
dealerships,category,dealerships,Dealerships,Car dealers,automotive,published,public,,,,,,,,
plumbers,category,plumbers,Plumbers,Plumbing,home-services,published,public,,,,,,,,
electricians,category,electricians,Electricians,Electrical,home-services,published,public,,,,,,,,
hvac,category,hvac,HVAC,Heating cooling,home-services,published,public,,,,,,,,
roofing,category,roofing,Roofing,Roofers,home-services,published,public,,,,,,,,
landscaping,category,landscaping,Landscaping,Landscaping,home-services,published,public,,,,,,,,
pest-control,category,pest-control,Pest Control,Pest control,home-services,published,public,,,,,,,,
lawyers,category,lawyers,Lawyers,Attorneys,professional,published,public,,,,,,,,
accountants,category,accountants,Accountants,Accounting,professional,published,public,,,,,,,,
insurance,category,insurance,Insurance,Insurance,professional,published,public,,,,,,,,
real-estate,category,real-estate,Real Estate,Realtors,professional,published,public,,,,,,,,
marketing,category,marketing,Marketing Agencies,Marketing,professional,published,public,,,,,,,,
software,category,software,Software Companies,Tech companies,professional,published,public,,,,,,,,
barton-springs-pool,item,barton-springs-pool,Barton Springs Pool,Natural spring-fed swimming pool located in Zilker Park.,swimming,published,public,"Austin, Texas",attraction,swimming|nature|outdoor,Barton Springs Pool Austin,Famous natural swimming pool in Austin Texas.,Barton Springs,Austin swimming,/images/barton-springs.jpg
lady-bird-lake,item,lady-bird-lake,Lady Bird Lake,"Popular lake for kayaking, paddleboarding, and trails.",outdoor,published,public,"Austin, Texas",attraction,lake|kayak|trail,Lady Bird Lake Austin,Lake in downtown Austin popular for recreation.,Lady Bird Lake,Austin lake,/images/lady-bird-lake.jpg
terry-blacks-bbq,item,terry-blacks-bbq,Terry Black's BBQ,Popular Austin BBQ restaurant known for brisket.,bbq,published,public,"Austin, Texas",restaurant,bbq|texas|food,Terry Blacks BBQ Austin,Famous BBQ restaurant in Austin.,Austin BBQ,/images/terry-blacks.jpg,franklin-bbq
franklin-bbq,item,franklin-bbq,Franklin BBQ,Famous Austin BBQ spot with long lines.,bbq,published,public,"Austin, Texas",restaurant,bbq|brisket,Franklin BBQ Austin,Legendary Texas BBQ restaurant.,Franklin BBQ,/images/franklin.jpg,terry-blacks-bbq
joes-coffee,item,joes-coffee,Jo's Coffee,Popular coffee shop on South Congress.,coffee,published,public,"Austin, Texas",coffee shop,coffee|cafe,Joes Coffee Austin,South Congress coffee shop.,Austin coffee,/images/joes-coffee.jpg,
zilker-botanical-garden,item,zilker-botanical-garden,Zilker Botanical Garden,Botanical gardens located inside Zilker Park.,attractions,published,public,"Austin, Texas",attraction,garden|nature,Zilker Botanical Garden,Botanical garden in Austin Texas.,Austin gardens,/images/botanical.jpg,zilker-park
mount-bonnell,item,mount-bonnell,Mount Bonnell,Scenic overlook with views of Austin.,outdoor,published,public,"Austin, Texas",attraction,scenic|view,Mount Bonnell Austin,Scenic viewpoint in Austin.,Austin views,/images/mount-bonnell.jpg,
butler-pitch-putt,item,butler-pitch-putt,Butler Pitch & Putt,Historic 9-hole golf course near downtown Austin.,things-to-do,published,public,"Austin, Texas",recreation,golf|outdoor,Butler Pitch and Putt,Austin short golf course.,Austin golf,/images/butler.jpg,zilker-park
comedy-mothership,item,comedy-mothership,Comedy Mothership,Comedy club in downtown Austin.,comedy,published,public,"Austin, Texas",nightlife,comedy|nightlife,Comedy Mothership Austin,Austin comedy club venue.,Austin comedy,/images/comedy-mothership.jpg,
meanwhile-brewery,item,meanwhile-brewery,Meanwhile Brewing,Brewery with food trucks and live music.,breweries,published,public,"Austin, Texas",brewery,beer|music,Meanwhile Brewery Austin,Popular Austin brewery.,Austin brewery,/images/meanwhile.jpg,
trumodern-esthetics,item,trumodern-esthetics,trumodern esthetics,Esthetician,facials | waxing,published,public,"Austin, Texas",Esthetician,waxing | facial | brazilian,Esthetician Austin,Popular Austin esthetician.,Austin Esthetician,,
zilker-park,item,zilker-park,Zilker Park,"A large urban park in central Austin known for festivals, trails, and recreation.",outdoor,published,public,"Austin, Texas",urban park,park|nature|festival,Zilker Park - Austin Texas,"Zilker Park is one of Austin’s most popular parks with trails, events, and Barton Springs nearby.",Zilker Park|Austin park,/images/zilker-park.jpg,barton-springs-pool
